time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.42179359705e-07,4.75561946055e-07,10.0053138088,0.000376512126739,0.000138417593012,0.0,-1.29968205628e-05,3.97938492932e-05,0.177115328881,0.0165449736739,0.0065623392218,0.0,460.3694043288524,460.88821926759005,460.1546231625426,461.4621821972883
0.12000000000000001,-5.23745437602e-06,1.49255532214e-05,10.0191136689,0.00171671408913,0.000269374045654,0.0,-0.000185761275264,0.000563877238683,0.282858944635,0.0319432210437,-0.00845748506719,0.0,439.42493116406587,438.17826537849817,438.0872504481671,439.3655557683096
0.18,-2.14023660641e-05,9.700488935e-05,10.0417646586,0.00337742264111,0.000388985848162,0.0,-0.000337102464734,0.00238011662003,0.472113914419,0.0173839754618,0.0173474268253,0.0,463.5000924876316,465.5233619270458,464.9927549901326,463.8511497244326
0.23999999999999996,-5.31197529393e-05,0.000307202301306,10.0713307974,0.00419930339224,0.0018856586669,0.0,-0.000841513060913,0.00471459152897,0.513405636612,0.00506083491177,0.0369386829117,0.0,417.2307194067259,418.9375400881247,418.65839688653824,417.5848786744614
0.3,-0.000159130796928,0.00069322797395,10.1087051183,0.00455182630439,0.00387562004191,0.0,-0.00294507929198,0.008191735222,0.732289406859,0.00745671185032,0.024288868651,0.0,473.0351020804474,472.0604800845438,474.21687641336536,474.40074995385083
0.36000000000000004,-0.000419333565925,0.00127810821839,10.155147645,0.00487056432163,0.00513484461345,0.0,-0.0058643223985,0.0113425267035,0.81573774742,0.000635539419584,0.0133952469019,0.0,432.7243703583762,431.80650501421894,432.3926840819896,431.8176462996618
0.4200000000000001,-0.000880192915774,0.00205948870134,10.2070761016,0.00506379572246,0.00582493436121,0.0,-0.00957368868817,0.0147153556251,0.915135571566,0.0079455053959,0.00741611837077,0.0,437.97005170553547,437.4724208668302,436.78934617936886,437.39841122365056
0.48000000000000015,-0.00161794527997,0.00308504452287,10.2719695868,0.00571138582098,0.00587030208732,0.0,-0.0150570248476,0.0195456835423,1.24767785662,0.0159540581861,-0.0179100445197,0.0,506.98289065788197,505.16017411904244,506.04435585429724,506.62030124582395
0.5400000000000001,-0.00262822050356,0.00436948066186,10.3480149685,0.00729267584647,0.00442598958316,0.0,-0.0185054476692,0.0233917989993,1.28712422372,0.0416512699549,-0.0407348530115,0.0,419.3538910067446,417.366518978457,418.1914980317988,420.42386584235675
0.6000000000000002,-0.00381895680231,0.00592941153225,10.42776279,0.0096894121547,0.00220553840878,0.0,-0.0209539452346,0.0288492342974,1.37103814544,0.0362962522207,-0.0304380479953,0.0,433.0184408457911,433.8829865846336,433.64776036665444,433.19860371720637
0.6600000000000003,-0.00511879585227,0.00789027599903,10.5151576948,0.0116424495988,6.28316470946,0.0,-0.022151754253,0.0367445301177,1.54190838103,0.0237490286788,-0.0557769573777,0.0,461.24820659976666,459.24217534971456,461.62708941860166,460.63637914228866
0.7200000000000003,-0.00643544983656,0.0103256479745,10.6093617344,0.0134038865186,6.27960979248,0.0,-0.021408224066,0.0445875370895,1.59814682376,0.0387074963766,-0.0672938668186,0.0,425.43545784388385,424.4455918907128,424.7865929115554,426.0675860565594
0.7800000000000004,-0.00761799298636,0.0133268059916,10.711158483,0.0154550155823,6.27538021936,0.0,-0.0175315140143,0.0557036642188,1.79478435736,0.0231184027323,-0.0778084814388,0.0,470.1755624509225,469.3567511859204,468.9018762413038,467.6897725091935
0.8400000000000004,-0.008469766985,0.0170329556944,10.8242968096,0.0174330590354,6.27023518172,0.0,-0.0103141848605,0.0680274232334,1.97618902708,0.047648136178,-0.110556880739,0.0,466.3846634317152,463.81372249735875,464.17069140125966,466.0919414313041
0.9000000000000005,-0.00877666970426,0.0215096505549,10.9472076257,0.0201927423646,6.26327388525,0.0,0.000814875158203,0.081496045615,2.12056451,0.0424651202044,-0.130131813132,0.0,455.2753656532133,453.6945459421917,454.8453304589261,454.43126687399274
0.9600000000000005,-0.00833574142397,0.0267786101268,11.0751335346,0.0227595102009,6.25535319512,0.0,0.0145941412801,0.094366297821,2.14356797971,0.0434006749959,-0.136059372107,0.0,415.7167302261201,415.1796375207669,417.22308836886344,417.3058948407899
1.0200000000000005,-0.00672559089765,0.0330226729378,11.2111272847,0.0255095160445,6.24754685496,0.0,0.0400472172352,0.114088172634,2.38903819878,0.0503007625297,-0.120283485779,0.0,484.6335358158986,485.8036752131915,485.035798184028,485.5547300233543
1.0800000000000005,-0.00348780756416,0.040456976472,11.3593755671,0.0291052533183,6.24005641453,0.0,0.0686824973505,0.134085238375,2.55217783284,0.0743562921456,-0.136003688347,0.0,462.0342246860516,460.7794788614506,461.8456790936246,463.741303206513
1.1400000000000006,0.00172895669406,0.0492372082592,11.519372397,0.0342229734841,6.23148213714,0.0,0.106191251624,0.159158191607,2.78045464621,0.101170308278,-0.162564198463,0.0,483.0969719191119,481.0722192499159,481.2509514874432,483.28133844966806
1.2000000000000006,0.00917018156973,0.059492700116,11.6885017418,0.0406307704767,6.22146909507,0.0,0.142811549293,0.183299006979,2.85691947995,0.116166607096,-0.177325775839,0.0,438.2771087012942,437.02113305831926,436.38219019089735,437.6422953564516
1.2600000000000007,0.0191805949657,0.0714378668772,11.8648460804,0.0472121670921,6.21063550661,0.0,0.192037679337,0.215612072092,3.02068555551,0.0918049563237,-0.187959394492,0.0,465.23800225861623,464.37458257702906,466.11572695962457,464.2177436194012
